"ID";"Persoonskenmerken";"Marges";"Regio";"StressDEenOfMeerFactZeerVaak_13"
"257";"T009002";"MW00000";"GM0279";"       ."
"258";"T009002";"MW00000";"GM0606";"    48.5"
"259";"T009002";"MW00000";"GM0088";"       ."
"260";"T009002";"MW00000";"GM1676";"    44.4"
"261";"T009002";"MW00000";"GM0965";"    39.5"
"262";"T009002";"MW00000";"GM1702";"       ."
"263";"T009002";"MW00000";"GM0845";"       ."
"264";"T009002";"MW00000";"GM1883";"    43.9"
"265";"T009002";"MW00000";"GM0610";"    35.4"
"266";"T009002";"MW00000";"GM1714";"    37.7"
"267";"T009002";"MW00000";"GM0090";"       ."
"268";"T009002";"MW00000";"GM0342";"    43.4"
"269";"T009002";"MW00000";"GM0847";"       ."
"270";"T009002";"MW00000";"GM0848";"       ."
"271";"T009002";"MW00000";"GM0037";"    42.6"
"272";"T009002";"MW00000";"GM0180";"       ."
"273";"T009002";"MW00000";"GM0532";"    44.5"
"274";"T009002";"MW00000";"GM0851";"    45.0"
"275";"T009002";"MW00000";"GM1708";"    45.7"
"276";"T009002";"MW00000";"GM0971";"    48.4"
"277";"T009002";"MW00000";"GM1904";"    47.1"
"278";"T009002";"MW00000";"GM1900";"       ."
"279";"T009002";"MW00000";"GM0715";"    42.4"
"280";"T009002";"MW00000";"GM0093";"       ."
"281";"T009002";"MW00000";"GM0448";"    48.6"
"282";"T009002";"MW00000";"GM1525";"    44.0"
"283";"T009002";"MW00000";"GM0716";"    39.8"
"284";"T009002";"MW00000";"GM0281";"    39.8"
"285";"T009002";"MW00000";"GM0855";"       ."
"286";"T009002";"MW00000";"GM0183";"    36.9"
"287";"T009002";"MW00000";"GM1700";"    40.2"
"288";"T009002";"MW00000";"GM1730";"    43.8"
"289";"T009002";"MW00000";"GM0737";"       ."
"290";"T009002";"MW00000";"GM0856";"       ."
"291";"T009002";"MW00000";"GM0450";"    44.3"
"292";"T009002";"MW00000";"GM0451";"       ."
"293";"T009002";"MW00000";"GM0184";"    28.8"
"294";"T009002";"MW00000";"GM0344";"    44.5"
"295";"T009002";"MW00000";"GM1581";"    42.1"
"296";"T009002";"MW00000";"GM0981";"       ."
"297";"T009002";"MW00000";"GM0994";"    44.4"
"298";"T009002";"MW00000";"GM0858";"       ."
"299";"T009002";"MW00000";"GM0047";"    43.4"
"300";"T009002";"MW00000";"GM0345";"    42.0"
"301";"T009002";"MW00000";"GM0717";"    34.4"
"302";"T009002";"MW00000";"GM0861";"       ."
"303";"T009002";"MW00000";"GM0453";"    49.5"
"304";"T009002";"MW00000";"GM0983";"    45.4"
"305";"T009002";"MW00000";"GM0984";"    42.5"
"306";"T009002";"MW00000";"GM1961";"    40.4"
"307";"T009002";"MW00000";"GM0622";"    49.4"
"308";"T009002";"MW00000";"GM0096";"       ."
"309";"T009002";"MW00000";"GM0718";"    47.8"
"310";"T009002";"MW00000";"GM0986";"    33.0"
"311";"T009002";"MW00000";"GM0626";"    46.6"
"312";"T009002";"MW00000";"GM0285";"    36.5"
"313";"T009002";"MW00000";"GM0865";"       ."
"314";"T009002";"MW00000";"GM1949";"       ."
"315";"T009002";"MW00000";"GM0866";"       ."
"316";"T009002";"MW00000";"GM0867";"       ."
"317";"T009002";"MW00000";"GM0627";"    37.2"
"318";"T009002";"MW00000";"GM0289";"       ."
"319";"T009002";"MW00000";"GM0629";"       ."
"320";"T009002";"MW00000";"GM0852";"    37.0"
"321";"T009002";"MW00000";"GM0988";"    42.5"
"322";"T009002";"MW00000";"GM0457";"    48.3"
"323";"T009002";"MW00000";"GM1960";"    38.4"
"324";"T009002";"MW00000";"GM0668";"    37.9"
"325";"T009002";"MW00000";"GM1969";"    44.2"
"326";"T009002";"MW00000";"GM1701";"    34.6"
"327";"T009002";"MW00000";"GM0293";"       ."
"328";"T009002";"MW00000";"GM1950";"       ."
"329";"T009002";"MW00000";"GM1783";"       ."
"330";"T009002";"MW00000";"GM0098";"       ."
"331";"T009002";"MW00000";"GM0614";"    41.6"
"332";"T009002";"MW00000";"GM0189";"    40.5"
"333";"T009002";"MW00000";"GM0296";"    39.3"
"334";"T009002";"MW00000";"GM1696";"    49.5"
"335";"T009002";"MW00000";"GM0352";"    47.0"
"336";"T009002";"MW00000";"GM0294";"    47.3"
"337";"T009002";"MW00000";"GM0873";"    44.2"
"338";"T009002";"MW00000";"GM0632";"    41.8"
"339";"T009002";"MW00000";"GM1690";"    34.0"
"340";"T009002";"MW00000";"GM0880";"    34.6"
"341";"T009002";"MW00000";"GM0351";"    33.9"
"342";"T009002";"MW00000";"GM0479";"    42.9"
"343";"T009002";"MW00000";"GM0297";"    37.2"
"344";"T009002";"MW00000";"GM0473";"    51.7"
"345";"T009002";"MW00000";"GM0050";"    38.6"
"346";"T009002";"MW00000";"GM0355";"    46.1"
"347";"T009002";"MW00000";"GM0299";"       ."
"348";"T009002";"MW00000";"GM0637";"       ."
"349";"T009002";"MW00000";"GM0638";"    48.2"
"350";"T009002";"MW00000";"GM1892";"    42.7"
"351";"T009002";"MW00000";"GM0879";"    42.0"
"352";"T009002";"MW00000";"GM0301";"    47.0"
"353";"T009002";"MW00000";"GM1896";"    36.1"
"354";"T009002";"MW00000";"GM0642";"    46.4"
"355";"T009002";"MW00000";"GM0193";"    41.7"
"356";"T009002";"MW00000";"GG0111";"    45.9"
"357";"T009002";"MW00000";"GG0706";"    42.3"
"358";"T009002";"MW00000";"GG1009";"    39.3"
"359";"T009002";"MW00000";"GG1106";"    41.2"
"360";"T009002";"MW00000";"GG1413";"    42.9"
"361";"T009002";"MW00000";"GG1911";"    43.6"
"362";"T009002";"MW00000";"GG2014";"    40.9"
"363";"T009002";"MW00000";"GG2209";"    46.1"
"364";"T009002";"MW00000";"GG2514";"    43.9"
"365";"T009002";"MW00000";"GG2707";"    46.7"
"366";"T009002";"MW00000";"GG3109";"    50.8"
"367";"T009002";"MW00000";"GG3406";"    46.5"
"368";"T009002";"MW00000";"GG3606";"    50.7"
"369";"T009002";"MW00000";"GG4506";"    42.9"
"370";"T009002";"MW00000";"GG4607";"    49.0"
"371";"T009002";"MW00000";"GG4816";"    41.1"
"372";"T009002";"MW00000";"GG5006";"    42.1"
"373";"T009002";"MW00000";"GG5206";"    44.0"
"374";"T009002";"MW00000";"GG5406";"    40.7"
"375";"T009002";"MW00000";"GG5608";"    50.2"
"376";"T009002";"MW00000";"GG6011";"    40.6"
"377";"T009002";"MW00000";"GG6106";"    44.6"
"378";"T009002";"MW00000";"GG7014";"    46.6"
"379";"T009002";"MW00000";"GG7206";"    45.3"
"380";"T009002";"MW00000";"GG7306";"    41.5"
